Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2019,2015,0333,North Union,39,40,97.50,90.1 - 100%
2019,2015,5877,Sergeant Bluff-Luton,116,119,97.48,90.1 - 100%
2019,2015,1576,Dallas Center-Grimes,185,190,97.37,90.1 - 100%
2019,2015,1989,Edgewood-Colesburg,37,38,97.37,90.1 - 100%
2019,2015,2457,George-Little Rock,37,38,97.37,90.1 - 100%
2019,2015,5976,Shenandoah,74,76,97.37,90.1 - 100%
2019,2015,1089,Central City,36,37,97.30,90.1 - 100%
2019,2015,4437,Montezuma,36,37,97.30,90.1 - 100%
2019,2015,4784,North Scott,216,222,97.30,90.1 - 100%
2019,2015,0999,Carroll,103,106,97.17,90.1 - 100%
2019,2015,6975,West Liberty,103,106,97.17,90.1 - 100%
2019,2015,3114,Indianola,272,280,97.14,90.1 - 100%
2019,2015,3154,Iowa Valley,34,35,97.14,90.1 - 100%
2019,2015,3119,Interstate 35,67,69,97.10,90.1 - 100%
2019,2015,4776,North Mahaska,33,34,97.06,90.1 - 100%
2019,2015,4995,Osage,66,68,97.06,90.1 - 100%
2019,2015,5166,Pella,164,169,97.04,90.1 - 100%
2019,2015,3600,Le Mars,163,168,97.02,90.1 - 100%
2019,2015,4773,Northeast,65,67,97.01,90.1 - 100%
2019,2015,0472,Ballard,128,132,96.97,90.1 - 100%
2019,2015,4689,New London,32,33,96.97,90.1 - 100%
2019,2015,1062,Center Point-Urbana,95,98,96.94,90.1 - 100%
2019,2015,0819,West Hancock,31,32,96.88,90.1 - 100%
2019,2015,6094,Southeast Warren,31,32,96.88,90.1 - 100%
2019,2015,4356,Missouri Valley,61,63,96.83,90.1 - 100%
2019,2015,6592,Van Buren County,61,63,96.83,90.1 - 100%
2019,2015,3231,Johnston,506,523,96.75,90.1 - 100%
2019,2015,0387,Atlantic,89,92,96.74,90.1 - 100%
2019,2015,4860,Odebolt Arthur Battle Creek Ida Grove,59,61,96.72,90.1 - 100%
2019,2015,5250,Pleasant Valley,322,333,96.70,90.1 - 100%
2019,2015,6093,Solon,117,121,96.69,90.1 - 100%
2019,2015,1350,Collins-Maxwell,29,30,96.67,90.1 - 100%
2019,2015,1413,Coon Rapids-Bayard,29,30,96.67,90.1 - 100%
2019,2015,1917,Boyer Valley,29,30,96.67,90.1 - 100%
2019,2015,6700,Waco,29,30,96.67,90.1 - 100%
2019,2015,1197,Clarinda,57,59,96.61,90.1 - 100%
2019,2015,3375,Knoxville,114,118,96.61,90.1 - 100%
2019,2015,5256,Pleasantville,57,59,96.61,90.1 - 100%
2019,2015,1233,Clear Lake,85,88,96.59,90.1 - 100%
2019,2015,1619,Davis County,85,88,96.59,90.1 - 100%
2019,2015,4086,Marion Independent,140,145,96.55,90.1 - 100%
2019,2015,7047,Winfield-Mt Union,28,29,96.55,90.1 - 100%
2019,2015,1638,Decorah Community,138,143,96.50,90.1 - 100%
2019,2015,1944,Eagle Grove,55,57,96.49,90.1 - 100%
2019,2015,4023,Manson Northwest Webster,55,57,96.49,90.1 - 100%
2019,2015,0279,Aplington-Parkersburg,54,56,96.43,90.1 - 100%
2019,2015,0981,Carlisle,160,166,96.39,90.1 - 100%
2019,2015,0153,North Butler,53,55,96.36,90.1 - 100%
2019,2015,5121,Panorama,53,55,96.36,90.1 - 100%
2019,2015,0609,Benton,105,109,96.33,90.1 - 100%
2019,2015,2754,Guthrie Center,52,54,96.30,90.1 - 100%
2019,2015,6759,Wapello,52,54,96.30,90.1 - 100%
2019,2015,7110,Woodward-Granger,52,54,96.30,90.1 - 100%
2019,2015,3645,Lewis Central,205,213,96.24,90.1 - 100%
2019,2015,0977,Cardinal,51,53,96.23,90.1 - 100%
2019,2015,6138,Springville,25,26,96.15,90.1 - 100%
2019,2015,6460,Tri-Center,50,52,96.15,90.1 - 100%
2019,2015,4041,Maquoketa,123,128,96.09,90.1 - 100%
2019,2015,6264,West Central Valley,49,51,96.08,90.1 - 100%
2019,2015,7098,Woodbury Central,49,51,96.08,90.1 - 100%
2019,2015,4662,New Hampton,97,101,96.04,90.1 - 100%
2019,2015,3186,Janesville Consolidated,24,25,96.00,90.1 - 100%
2019,2015,3204,Jesup,48,50,96.00,90.1 - 100%
2019,2015,5013,Oskaloosa,144,150,96.00,90.1 - 100%
2019,2015,4617,Nevada,118,123,95.93,90.1 - 100%
2019,2015,2727,Grundy Center,47,49,95.92,90.1 - 100%
2019,2015,3105,Independence,117,122,95.90,90.1 - 100%
2019,2015,3715,Linn-Mar,467,487,95.89,90.1 - 100%
2019,2015,6840,Waverly-Shell Rock,163,170,95.88,90.1 - 100%
2019,2015,5805,Saydel,89,93,95.70,90.1 - 100%
2019,2015,4779,North Polk,111,116,95.69,90.1 - 100%
2019,2015,1044,Cedar Falls,352,368,95.65,90.1 - 100%
2019,2015,1953,Earlham,44,46,95.65,90.1 - 100%
2019,2015,2846,Harris-Lake Park,22,23,95.65,90.1 - 100%
2019,2015,4122,Martensdale-St Marys,44,46,95.65,90.1 - 100%
2019,2015,4599,Nashua-Plainfield,44,46,95.65,90.1 - 100%
2019,2015,6943,West Central,22,23,95.65,90.1 - 100%
2019,2015,1107,Chariton,87,91,95.60,90.1 - 100%
2019,2015,0261,Ankeny,708,741,95.55,90.1 - 100%
2019,2015,0225,Ames,320,335,95.52,90.1 - 100%
2019,2015,2781,Hampton-Dumont,106,111,95.50,90.1 - 100%
2019,2015,2826,Harlan,106,111,95.50,90.1 - 100%
2019,2015,6120,Spirit Lake,106,111,95.50,90.1 - 100%
2019,2015,2511,Glenwood,168,176,95.45,90.1 - 100%
2019,2015,4269,Midland,42,44,95.45,90.1 - 100%
2019,2015,0594,Belmond-Klemme,41,43,95.35,90.1 - 100%
2019,2015,1431,Corning,40,42,95.24,90.1 - 100%
2019,2015,5508,Riceville,20,21,95.24,90.1 - 100%
2019,2015,6091,South Central Calhoun,60,63,95.24,90.1 - 100%
2019,2015,0621,Bettendorf,355,373,95.17,90.1 - 100%
2019,2015,6985,West Marshall,59,62,95.16,90.1 - 100%
2019,2015,6101,Southeast Polk,489,514,95.14,90.1 - 100%
2019,2015,0135,Allamakee,76,80,95.00,90.1 - 100%
2019,2015,2097,English Valleys,38,40,95.00,90.1 - 100%
2019,2015,6660,Vinton-Shellsburg,94,99,94.95,90.1 - 100%
2019,2015,4554,Mount Vernon,93,98,94.90,90.1 - 100%
2019,2015,5463,Red Oak,74,78,94.87,90.1 - 100%
2019,2015,0720,Bondurant-Farrar,110,116,94.83,90.1 - 100%
2019,2015,6867,Webster City,126,133,94.74,90.1 - 100%
2019,2015,1082,Central DeWitt,107,113,94.69,90.1 - 100%
2019,2015,7038,Wilton,53,56,94.64,90.1 - 100%
2019,2015,1975,River Valley,35,37,94.59,90.1 - 100%
2019,2015,6273,Sumner-Fredericksburg,70,74,94.59,90.1 - 100%
2019,2015,6950,West Delaware County,105,111,94.59,90.1 - 100%
2019,2015,5160,PCM,87,92,94.57,90.1 - 100%
2019,2015,6741,East Sac County,69,73,94.52,90.1 - 100%
2019,2015,0099,Alburnett,51,54,94.44,90.1 - 100%
