Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2013,2009,6867,Webster City,120,128,93.80,90.1 - 100%
2016,2012,6795,Waterloo,571,738,77.40,70.1 - 80%
2009,2005,4772,North Central,77,79,97.50,90.1 - 100%
2017,2013,1413,Coon Rapids-Bayard,28,30,93.30,90.1 - 100%
2017,2013,0729,Boone,163,169,96.50,90.1 - 100%
2010,2006,1476,Council Bluffs,537,686,78.30,70.1 - 80%
2017,2013,6867,Webster City,135,142,95.10,90.1 - 100%
2014,2010,3330,Keota,16,17,94.10,90.1 - 100%
2012,2008,3555,Lawton-Bronson,51,51,100.00,90.1 - 100%
2009,2005,2016,Elk Horn-Kimballton,29,30,96.70,90.1 - 100%
2014,2010,2520,Glidden-Ralston,29,29,100.00,90.1 - 100%
2010,2006,1576,Dallas Center-Grimes,119,127,93.70,90.1 - 100%
2010,2006,6768,Washington,118,128,92.20,90.1 - 100%
2016,2012,6591,Valley,,,,Not Reportable
2012,2008,1197,Clarinda,61,65,93.90,90.1 - 100%
2012,2008,0594,Belmond-Klemme,40,41,97.60,90.1 - 100%
2017,2013,3114,Indianola,257,268,95.90,90.1 - 100%
2016,2012,0063,Akron Westfield,34,35,97.10,90.1 - 100%
2010,2006,5256,Pleasantville,43,45,95.60,90.1 - 100%
2014,2010,6990,West Sioux,28,40,70.00,60.1 - 70%
2015,2011,1079,Central Lee,73,88,83.00,80.1 - 90%
2011,2007,1611,Davenport,868,1131,76.80,70.1 - 80%
2014,2010,1449,Corwith-Wesley,10,11,90.90,90.1 - 100%
2012,2008,6099,South O'Brien,44,48,91.70,90.1 - 100%
2016,2012,6516,Twin Rivers,,,,Not Reportable
2011,2007,6651,Villisca,31,32,96.90,90.1 - 100%
2015,2011,4271,Mid-Prairie,71,76,93.40,90.1 - 100%
2009,2005,6854,Wayne,60,62,96.80,90.1 - 100%
2011,2007,6990,West Sioux,40,46,87.00,80.1 - 90%
2010,2006,5877,Sergeant Bluff-Luton,99,101,98.00,90.1 - 100%
2016,2012,1079,Central Lee,73,76,96.10,90.1 - 100%
2010,2006,1619,Davis County,84,86,97.70,90.1 - 100%
2016,2012,1080,Central,36,38,94.70,90.1 - 100%
2010,2006,6273,Sumner,74,77,96.10,90.1 - 100%
2013,2009,0999,Carroll,135,148,91.20,90.1 - 100%
2010,2006,6095,South Hamilton,49,56,87.50,80.1 - 90%
2011,2007,7002,Whiting,13,14,92.90,90.1 - 100%
2011,2007,1449,Corwith-Wesley,19,19,100.00,90.1 - 100%
2017,2013,6453,Treynor,64,64,100.00,90.1 - 100%
2017,2013,6937,West Burlington Ind,59,64,92.20,90.1 - 100%
2012,2008,4527,Mount Ayr,34,37,91.90,90.1 - 100%
2012,2008,4777,North Linn,48,57,84.20,80.1 - 90%
2017,2013,4772,Central Springs,57,59,96.60,90.1 - 100%
2014,2010,0873,North Iowa,40,42,95.20,90.1 - 100%
2012,2008,6408,Tipton,47,59,79.70,70.1 - 80%
2010,2006,1206,Clarion-Goldfield,59,66,89.40,80.1 - 90%
2016,2012,3168,IKM-Manning,51,52,98.10,90.1 - 100%
2015,2011,2007,Eldora-New Providence,66,69,95.70,90.1 - 100%
2010,2006,3186,Janesville,17,18,94.40,90.1 - 100%
2016,2012,0585,Bellevue,50,51,98.00,90.1 - 100%
2013,2009,4437,Montezuma,31,33,93.90,90.1 - 100%
2009,2005,0585,Bellevue,43,45,95.60,90.1 - 100%
2009,2005,3375,Knoxville,143,150,95.30,90.1 - 100%
2017,2013,6460,Tri-Center,55,55,100.00,90.1 - 100%
2012,2008,4775,Northeast Hamilton,14,14,100.00,90.1 - 100%
2013,2009,4869,Oelwein,92,108,85.20,80.1 - 90%
2012,2008,6165,Stanton,20,20,100.00,90.1 - 100%
2010,2006,5751,St Ansgar,59,61,96.70,90.1 - 100%
2012,2008,2781,Hampton-Dumont,99,105,94.30,90.1 - 100%
2010,2006,2502,Gladbrook-Reinbeck,56,61,91.80,90.1 - 100%
2012,2008,1337,College,248,283,87.60,80.1 - 90%
2016,2012,5607,Rock Valley,66,67,98.50,90.1 - 100%
2009,2005,5121,Panorama,69,74,93.20,90.1 - 100%
2009,2005,0918,Calamus-Wheatland,30,35,85.70,80.1 - 90%
2017,2013,4775,Northeast Hamilton,,,,Not Reportable
2015,2011,5895,Seymour,10,11,90.90,90.1 - 100%
2009,2005,6120,Spirit Lake,105,109,96.30,90.1 - 100%
2017,2013,2322,Fort Madison,132,146,90.40,90.1 - 100%
2014,2010,2763,Clayton Ridge,58,63,92.10,90.1 - 100%
2015,2011,3114,Indianola,247,257,96.10,90.1 - 100%
2013,2009,1350,Collins-Maxwell,32,34,94.10,90.1 - 100%
2016,2012,1368,Columbus,48,58,82.80,80.1 - 90%
2017,2013,2124,Estherville Lincoln,90,94,95.70,90.1 - 100%
2009,2005,0621,Bettendorf,284,315,90.20,90.1 - 100%
2012,2008,6175,Starmont,42,44,95.50,90.1 - 100%
2015,2011,0540,BCLUW,38,42,90.50,90.1 - 100%
2011,2007,5823,Schaller-Crestland,,,,Not Reportable
2012,2008,5486,Remsen-Union,20,23,87.00,80.1 - 90%
2011,2007,3186,Janesville,25,25,100.00,90.1 - 100%
2015,2011,6592,Van Buren,38,43,88.40,80.1 - 90%
2014,2010,1953,Earlham,46,48,95.80,90.1 - 100%
2016,2012,6460,Tri-Center,44,45,97.80,90.1 - 100%
2011,2007,6102,Spencer,120,136,88.20,80.1 - 90%
2012,2008,3114,Indianola,227,233,97.40,90.1 - 100%
2009,2005,4509,Morning Sun,,,,Not Reportable
2014,2010,6138,Springville,25,25,100.00,90.1 - 100%
2016,2012,5895,Seymour,13,15,86.70,80.1 - 90%
2017,2013,1737,Des Moines Independent,1748,2120,82.50,80.1 - 90%
2014,2010,4491,Moravia,21,24,87.50,80.1 - 90%
2010,2006,1107,Chariton,99,108,91.70,90.1 - 100%
2009,2005,4978,Orient-Macksburg,29,30,96.70,90.1 - 100%
2013,2009,4878,Ogden,47,49,95.90,90.1 - 100%
2014,2010,5949,Sheldon,66,72,91.70,90.1 - 100%
2009,2005,6768,Washington,141,146,96.60,90.1 - 100%
2012,2008,1079,Central Lee,56,56,100.00,90.1 - 100%
2014,2010,6615,Van Meter,51,51,100.00,90.1 - 100%
2011,2007,0594,Belmond-Klemme,57,57,100.00,90.1 - 100%
2016,2012,4776,North Mahaska,29,36,80.60,80.1 - 90%
2011,2007,1278,Clinton,231,298,77.50,70.1 - 80%
2014,2010,3141,Iowa City,781,864,90.40,90.1 - 100%
2017,2013,5895,Seymour,21,21,100.00,90.1 - 100%
2009,2005,0981,Carlisle,104,118,88.10,80.1 - 90%
2014,2010,5283,Pocahontas Area,43,47,91.50,90.1 - 100%
2014,2010,0081,Albia,87,95,91.60,90.1 - 100%
2015,2011,0936,Camanche,68,76,89.50,80.1 - 90%
2013,2009,4779,North Polk,84,85,98.80,90.1 - 100%
2009,2005,2124,Estherville Lincoln Central,88,96,91.70,90.1 - 100%
2015,2011,2977,Highland,51,57,89.50,80.1 - 90%
2012,2008,5184,Perry,120,128,93.80,90.1 - 100%
2011,2007,1206,Clarion-Goldfield,64,66,97.00,90.1 - 100%
2013,2009,3150,Iowa Falls,91,100,91.00,90.1 - 100%
2016,2012,3942,Madrid,48,55,87.30,80.1 - 90%
2015,2011,6660,Vinton-Shellsburg,81,102,79.40,70.1 - 80%
2014,2010,1576,Dallas Center-Grimes,162,166,97.60,90.1 - 100%
2009,2005,3105,Independence,108,125,86.40,80.1 - 90%
2011,2007,6509,Turkey Valley,50,51,98.00,90.1 - 100%
2009,2005,6273,Sumner,60,61,98.40,90.1 - 100%
2015,2011,2511,Glenwood,142,151,94.00,90.1 - 100%
2015,2011,6950,West Delaware County,117,120,97.50,90.1 - 100%
2017,2013,4212,Melcher-Dallas,19,20,95.00,90.1 - 100%
2016,2012,4068,Marcus-Meriden-Cleghorn,28,30,93.30,90.1 - 100%
2014,2010,5508,Riceville,22,22,100.00,90.1 - 100%
2014,2010,6509,Turkey Valley,27,27,100.00,90.1 - 100%
2015,2011,4149,MOC-Floyd Valley,90,90,100.00,90.1 - 100%
2017,2013,4905,Olin Consolidated,,,,Not Reportable
2012,2008,3348,Kingsley-Pierson,27,29,93.10,90.1 - 100%
2012,2008,2763,Clayton Ridge,48,49,98.00,90.1 - 100%
2017,2013,4773,Northeast,76,79,96.20,90.1 - 100%
2015,2011,6453,Treynor,46,46,100.00,90.1 - 100%
2012,2008,6741,East Sac County,75,77,97.40,90.1 - 100%
2016,2012,1413,Coon Rapids-Bayard,25,26,96.20,90.1 - 100%
2017,2013,4033,Maple Valley-Anthon Oto,44,47,93.60,90.1 - 100%
2017,2013,2007,Eldora-New Providence,67,71,94.40,90.1 - 100%
2011,2007,1089,Central City,29,32,90.60,90.1 - 100%
2017,2013,5049,Ottumwa,245,277,88.50,80.1 - 90%
2009,2005,3060,Humboldt,76,80,95.00,90.1 - 100%
2010,2006,6579,Urbandale,298,305,97.70,90.1 - 100%
2011,2007,2709,Grinnell-Newburg,124,138,89.90,80.1 - 90%
2012,2008,5283,Pocahontas Area,52,55,94.60,90.1 - 100%
2015,2011,0585,Bellevue,55,57,96.50,90.1 - 100%
2013,2009,4356,Missouri Valley,67,68,98.50,90.1 - 100%
2013,2009,5922,West Fork,58,61,95.10,90.1 - 100%
2015,2011,6795,Waterloo,599,746,80.30,80.1 - 90%
2009,2005,4271,Mid-Prairie,72,85,84.70,80.1 - 90%
2013,2009,7056,Winterset,94,97,96.90,90.1 - 100%
2010,2006,4785,North Tama County,44,47,93.60,90.1 - 100%
2012,2008,4878,Ogden,58,59,98.30,90.1 - 100%
2014,2010,6950,West Delaware County,117,122,95.90,90.1 - 100%
2016,2012,0549,Bedford,41,43,95.40,90.1 - 100%
2012,2008,6094,Southeast Warren,29,30,96.70,90.1 - 100%
2012,2008,3841,Louisa-Muscatine,59,69,85.50,80.1 - 90%
2011,2007,0819,West Hancock,41,44,93.20,90.1 - 100%
2011,2007,2781,Hampton-Dumont,91,95,95.80,90.1 - 100%
2016,2012,6700,Waco,20,21,95.20,90.1 - 100%
2016,2012,6093,Solon,107,111,96.40,90.1 - 100%
2011,2007,6615,Van Meter,56,57,98.30,90.1 - 100%
2011,2007,3154,Iowa Valley,45,52,86.50,80.1 - 90%
2016,2012,0846,Brooklyn-Guernsey-Malcom,54,54,100.00,90.1 - 100%
2012,2008,6759,Wapello,39,45,86.70,80.1 - 90%
2017,2013,3942,Madrid,54,55,98.20,90.1 - 100%
2015,2011,1926,Durant,42,46,91.30,90.1 - 100%
2012,2008,3906,Lynnville-Sully,41,43,95.40,90.1 - 100%
2016,2012,2097,English Valleys,31,35,88.60,80.1 - 90%
2010,2006,0873,North Iowa,37,44,84.10,80.1 - 90%
2009,2005,6219,Storm Lake,87,156,55.80,50.1 - 60%
2016,2012,1965,Easton Valley,32,36,88.90,80.1 - 90%
2009,2005,4068,Marcus-Meriden-Cleghorn,31,33,93.90,90.1 - 100%
2012,2008,2088,Emmetsburg,44,46,95.70,90.1 - 100%
2010,2006,2826,Harlan,132,145,91.00,90.1 - 100%
2012,2008,2673,Nodaway Valley,57,58,98.30,90.1 - 100%
2010,2006,6750,Walnut,11,13,84.60,80.1 - 90%
2012,2008,6012,Sigourney,39,43,90.70,90.1 - 100%
2015,2011,4212,Melcher-Dallas,22,24,91.70,90.1 - 100%
2013,2009,2097,English Valleys,32,33,97.00,90.1 - 100%
2010,2006,6950,West Delaware County,129,137,94.20,90.1 - 100%
2011,2007,4890,Okoboji,66,71,93.00,90.1 - 100%
2015,2011,4446,Monticello,72,80,90.00,80.1 - 90%
2013,2009,6750,Walnut,,,,Not Reportable
2012,2008,1701,Denison,134,159,84.30,80.1 - 90%
2017,2013,5832,Schleswig,,,,Not Reportable
2010,2006,5508,Riceville,29,32,90.60,90.1 - 100%
2013,2009,4023,Manson Northwest Webster,41,43,95.40,90.1 - 100%
2013,2009,6579,Urbandale,261,280,93.20,90.1 - 100%
2012,2008,2682,GMG,32,35,91.40,90.1 - 100%
2011,2007,7038,Wilton,59,67,88.10,80.1 - 90%
2015,2011,1368,Columbus,50,58,86.20,80.1 - 90%
2010,2006,6003,Sidney,36,40,90.00,80.1 - 90%
2010,2006,1503,Creston,108,121,89.30,80.1 - 90%
2012,2008,4725,Newton,191,206,92.70,90.1 - 100%
2011,2007,4572,Murray,25,28,89.30,80.1 - 90%
2015,2011,0153,North Butler,43,44,97.70,90.1 - 100%
2013,2009,1476,Council Bluffs,522,616,84.70,80.1 - 90%
2013,2009,0355,Ar-We-Va,27,27,100.00,90.1 - 100%
2012,2008,0414,Audubon,47,49,95.90,90.1 - 100%
2013,2009,4772,Central Springs,68,72,94.40,90.1 - 100%
2009,2005,0540,BCLUW,59,61,96.70,90.1 - 100%
2016,2012,4023,Manson Northwest Webster,54,57,94.70,90.1 - 100%
2013,2009,0472,Ballard,106,108,98.20,90.1 - 100%
2013,2009,5337,Preston,27,30,90.00,80.1 - 90%
2009,2005,0513,Baxter,34,37,91.90,90.1 - 100%
2009,2005,0936,Camanche,72,85,84.70,80.1 - 90%
2016,2012,4041,Maquoketa,116,129,89.90,80.1 - 90%
2009,2005,1233,Clear Lake,104,111,93.70,90.1 - 100%
2009,2005,1337,College,229,276,83.00,80.1 - 90%
2012,2008,6840,Waverly-Shell Rock,150,157,95.50,90.1 - 100%
2014,2010,6592,Van Buren,48,53,90.60,90.1 - 100%
2012,2008,6992,Westwood,47,54,87.00,80.1 - 90%
2016,2012,2709,Grinnell-Newburg,103,115,89.60,80.1 - 90%
2016,2012,0018,Adair-Casey,26,27,96.30,90.1 - 100%
2015,2011,5325,Prairie Valley,75,77,97.40,90.1 - 100%
2015,2011,0549,Bedford,33,34,97.10,90.1 - 100%
2012,2008,6854,Wayne,44,46,95.70,90.1 - 100%
2011,2007,0549,Bedford,37,41,90.20,90.1 - 100%
2014,2010,1368,Columbus,57,67,85.10,80.1 - 90%
2017,2013,6097,South Page,,,,Not Reportable
2011,2007,4131,Mason City,240,279,86.00,80.1 - 90%
2012,2008,1116,Charles City,112,130,86.20,80.1 - 90%
2014,2010,1332,Colfax-Mingo,46,51,90.20,90.1 - 100%
2012,2008,0846,Brooklyn-Guernsey-Malcom,50,51,98.00,90.1 - 100%
2009,2005,0027,Adel-DeSoto-Minburn,106,116,91.40,90.1 - 100%
2009,2005,5697,Rudd-Rockford-Marble Rk,47,48,97.90,90.1 - 100%
2017,2013,0918,Calamus-Wheatland,43,43,100.00,90.1 - 100%
2012,2008,6943,West Central,25,25,100.00,90.1 - 100%
2014,2010,5643,Roland-Story,69,71,97.20,90.1 - 100%
2013,2009,3978,East Mills,35,37,94.60,90.1 - 100%
2016,2012,4086,Marion Independent,135,144,93.80,90.1 - 100%
2014,2010,1926,Durant,42,52,80.80,80.1 - 90%
2009,2005,0576,Belle Plaine,52,62,83.90,80.1 - 90%
2014,2010,4149,MOC-Floyd Valley,103,106,97.20,90.1 - 100%
2014,2010,5121,Panorama,61,62,98.40,90.1 - 100%
2017,2013,6854,Wayne,33,37,89.20,80.1 - 90%
2009,2005,0099,Alburnett,58,63,92.10,90.1 - 100%
2013,2009,6030,Sioux Center,51,65,78.50,70.1 - 80%
2010,2006,3906,Lynnville-Sully,38,38,100.00,90.1 - 100%
2011,2007,6992,Westwood,49,50,98.00,90.1 - 100%
2017,2013,1970,East Union,37,42,88.10,80.1 - 90%
2009,2005,2466,Gilbert,78,82,95.10,90.1 - 100%
2014,2010,0027,Adel-DeSoto-Minburn,105,106,99.10,90.1 - 100%
2017,2013,2511,Glenwood,136,141,96.50,90.1 - 100%
2017,2013,4271,Mid-Prairie,81,92,88.00,80.1 - 90%
2009,2005,0916,CAL,24,25,96.00,90.1 - 100%
2009,2005,3537,Laurens-Marathon,35,36,97.20,90.1 - 100%
2014,2010,4269,Midland,24,27,88.90,80.1 - 90%
2011,2007,1782,Diagonal,,,,Not Reportable
2017,2013,6516,Twin Rivers,,,,Not Reportable
2010,2006,1449,Corwith-Wesley,17,18,94.40,90.1 - 100%
2009,2005,2718,Griswold,43,44,97.70,90.1 - 100%
2017,2013,2718,Griswold,42,42,100.00,90.1 - 100%
2015,2011,3816,Lone Tree,38,39,97.40,90.1 - 100%
2016,2012,3330,Keota,16,17,94.10,90.1 - 100%
2009,2005,0747,Boyden-Hull,35,37,94.60,90.1 - 100%
2014,2010,2718,Griswold,48,49,98.00,90.1 - 100%
2017,2013,6759,Wapello,54,65,83.10,80.1 - 90%
2009,2005,6095,South Hamilton,64,71,90.10,90.1 - 100%
2010,2006,1908,Dunkerton,28,30,93.30,90.1 - 100%
2017,2013,6592,Van Buren,36,39,92.30,90.1 - 100%
2014,2010,1215,Clarksville,21,21,100.00,90.1 - 100%
2010,2006,2673,Nodaway Valley,56,58,96.60,90.1 - 100%
2013,2009,3600,Le Mars,160,165,97.00,90.1 - 100%
2010,2006,6592,Van Buren,58,59,98.30,90.1 - 100%
2016,2012,1350,Collins-Maxwell,23,24,95.80,90.1 - 100%
2010,2006,2376,Galva-Holstein,28,29,96.60,90.1 - 100%
2015,2011,6579,Urbandale,275,281,97.90,90.1 - 100%
2011,2007,7029,Williamsburg,100,102,98.00,90.1 - 100%
2015,2011,6095,South Hamilton,52,57,91.20,90.1 - 100%
2017,2013,3715,Linn-Mar,440,478,92.10,90.1 - 100%
2014,2010,2862,Hartley-Melvin-Sanborn,40,45,88.90,80.1 - 90%
2016,2012,0594,Belmond-Klemme,45,47,95.70,90.1 - 100%
2013,2009,3420,Lake Mills,40,40,100.00,90.1 - 100%
2014,2010,5049,Ottumwa,288,322,89.40,80.1 - 90%
2009,2005,1079,Central Lee,76,80,95.00,90.1 - 100%
2011,2007,4617,Nevada,108,115,93.90,90.1 - 100%
2012,2008,3150,Iowa Falls,86,94,91.50,90.1 - 100%
2011,2007,5139,Paton-Churdan,10,10,100.00,90.1 - 100%
2013,2009,1917,Boyer Valley,29,32,90.60,90.1 - 100%
2010,2006,6961,Western Dubuque,236,238,99.20,90.1 - 100%
2015,2011,0916,CAL,18,20,90.00,80.1 - 90%
2015,2011,1576,Dallas Center-Grimes,164,172,95.40,90.1 - 100%
2010,2006,1413,Coon Rapids-Bayard,27,31,87.10,80.1 - 90%
2011,2007,4978,Orient-Macksburg,14,14,100.00,90.1 - 100%
2016,2012,7038,Wilton,50,53,94.30,90.1 - 100%
2015,2011,2295,Forest City,84,89,94.40,90.1 - 100%
2016,2012,2977,Highland,31,40,77.50,70.1 - 80%
2015,2011,0261,Ankeny,563,602,93.50,90.1 - 100%
2016,2012,4437,Montezuma,22,23,95.70,90.1 - 100%
2013,2009,1233,Clear Lake,121,123,98.40,90.1 - 100%
2015,2011,1917,Boyer Valley,32,33,97.00,90.1 - 100%
2010,2006,0621,Bettendorf,341,370,92.20,90.1 - 100%
2013,2009,5463,Red Oak,84,97,86.60,80.1 - 90%
2011,2007,4644,Newell-Fonda,40,41,97.60,90.1 - 100%
2016,2012,0981,Carlisle,148,157,94.30,90.1 - 100%
2009,2005,1965,East Central,31,34,91.20,90.1 - 100%
2017,2013,7056,Winterset,129,134,96.30,90.1 - 100%
2014,2010,0225,Ames,296,320,92.50,90.1 - 100%
2013,2009,2205,Farragut,33,33,100.00,90.1 - 100%
2013,2009,5508,Riceville,18,18,100.00,90.1 - 100%
2016,2012,3897,LuVerne,,,,Not Reportable
2013,2009,5283,Pocahontas Area,46,49,93.90,90.1 - 100%
2011,2007,5510,Riverside,38,41,92.70,90.1 - 100%
2017,2013,5250,Pleasant Valley,292,300,97.30,90.1 - 100%
2013,2009,4725,Newton,201,213,94.40,90.1 - 100%
2017,2013,4869,Oelwein,84,93,90.30,90.1 - 100%
2017,2013,6700,Waco,28,32,87.50,80.1 - 90%
2010,2006,1602,Danville,44,48,91.70,90.1 - 100%
2010,2006,6591,Valley,44,47,93.60,90.1 - 100%
2015,2011,6961,Western Dubuque,266,271,98.20,90.1 - 100%
2014,2010,6093,Solon,136,141,96.50,90.1 - 100%
2017,2013,4086,Marion Independent,141,151,93.40,90.1 - 100%
2017,2013,0153,North Butler,36,38,94.70,90.1 - 100%
2017,2013,0234,Anamosa,84,89,94.40,90.1 - 100%
2017,2013,5139,Paton-Churdan,,,,Not Reportable
2012,2008,6957,West Des Moines,631,683,92.40,90.1 - 100%
2011,2007,4203,Mediapolis,57,68,83.80,80.1 - 90%
2009,2005,3029,Howard-Winneshiek,107,119,89.90,80.1 - 90%
2016,2012,2556,Graettinger-Terril,21,21,100.00,90.1 - 100%
2015,2011,1989,Edgewood-Colesburg,41,42,97.60,90.1 - 100%
2015,2011,6012,Sigourney,41,44,93.20,90.1 - 100%
2017,2013,3312,Keokuk,140,155,90.30,90.1 - 100%
2012,2008,5049,Ottumwa,247,305,81.00,80.1 - 90%
2009,2005,6408,Tipton,76,79,96.20,90.1 - 100%
2012,2008,4644,Newell-Fonda,33,34,97.10,90.1 - 100%
2017,2013,6930,West Branch,47,50,94.00,90.1 - 100%
2009,2005,0423,Aurelia,23,23,100.00,90.1 - 100%
2009,2005,0135,Allamakee,116,117,99.20,90.1 - 100%
2011,2007,4775,Northeast Hamilton,26,27,96.30,90.1 - 100%
2010,2006,6633,Ventura,27,28,96.40,90.1 - 100%
2011,2007,0243,Andrew,25,26,96.20,90.1 - 100%
2010,2006,2556,Graettinger,21,22,95.50,90.1 - 100%
2011,2007,4271,Mid-Prairie,74,91,81.30,80.1 - 90%
2015,2011,4491,Moravia,17,19,89.50,80.1 - 90%
2012,2008,0279,Aplington-Parkersburg,67,68,98.50,90.1 - 100%
2017,2013,6943,West Central,20,20,100.00,90.1 - 100%
2015,2011,4689,New London,32,36,88.90,80.1 - 90%
2016,2012,0747,Boyden-Hull,44,47,93.60,90.1 - 100%
2014,2010,3798,Logan-Magnolia,44,47,93.60,90.1 - 100%
2011,2007,4878,Ogden,62,64,96.90,90.1 - 100%
2015,2011,6822,Waukee,435,442,98.40,90.1 - 100%
2012,2008,4779,North Polk,89,91,97.80,90.1 - 100%
2016,2012,2511,Glenwood,147,149,98.70,90.1 - 100%
2013,2009,4890,Okoboji,67,71,94.40,90.1 - 100%
2012,2008,6039,Sioux City,752,888,84.70,80.1 - 90%
2015,2011,6096,Southeast Webster Grand,,,,Not Reportable
2013,2009,6102,Spencer,123,137,89.80,80.1 - 90%
2010,2006,1221,Clear Creek Amana,94,104,90.40,90.1 - 100%
2014,2010,1080,Central,35,36,97.20,90.1 - 100%
2012,2008,3609,Lenox,22,25,88.00,80.1 - 90%
2012,2008,0153,North Butler,40,41,97.60,90.1 - 100%
2009,2005,4860,Odebolt-Arthur,34,34,100.00,90.1 - 100%
2010,2006,6840,Waverly-Shell Rock,162,173,93.60,90.1 - 100%
2017,2013,1791,Dike-New Hartford,73,76,96.10,90.1 - 100%
2014,2010,0819,West Hancock,40,43,93.00,90.1 - 100%
2015,2011,1206,Clarion-Goldfield-Dows,67,69,97.10,90.1 - 100%
2012,2008,4068,Marcus-Meriden-Cleghorn,36,41,87.80,80.1 - 90%
2017,2013,4644,Newell-Fonda,26,28,92.90,90.1 - 100%
2011,2007,6795,Waterloo,567,734,77.30,70.1 - 80%
2010,2006,5823,Schaller-Crestland,22,22,100.00,90.1 - 100%
2014,2010,3114,Indianola,246,254,96.90,90.1 - 100%
2016,2012,2403,Garner-Hayfield-Ventura,93,97,95.90,90.1 - 100%
2014,2010,0585,Bellevue,54,55,98.20,90.1 - 100%
2012,2008,4356,Missouri Valley,59,65,90.80,90.1 - 100%
2013,2009,1221,Clear Creek Amana,98,113,86.70,80.1 - 90%
2012,2008,2457,George-Little Rock,33,34,97.10,90.1 - 100%
2017,2013,1044,Cedar Falls,356,370,96.20,90.1 - 100%
2017,2013,5510,Riverside,37,39,94.90,90.1 - 100%
2009,2005,5013,Oskaloosa,171,205,83.40,80.1 - 90%
2015,2011,2709,Grinnell-Newburg,108,121,89.30,80.1 - 90%
2017,2013,4518,Moulton-Udell,21,22,95.50,90.1 - 100%
2011,2007,4269,Midland,30,33,90.90,90.1 - 100%
2010,2006,1359,Colo-Nesco,38,40,95.00,90.1 - 100%
2012,2008,6700,Waco,29,29,100.00,90.1 - 100%
2014,2010,2709,Grinnell-Newburg,127,145,87.60,80.1 - 90%
2009,2005,5895,Seymour,15,21,71.40,70.1 - 80%
2010,2006,4212,Melcher-Dallas,34,37,91.90,90.1 - 100%
2009,2005,5310,Postville,37,46,80.40,80.1 - 90%
2012,2008,4774,North Fayette,68,72,94.40,90.1 - 100%
2009,2005,5994,Sibley-Ocheyedan,82,92,89.10,80.1 - 90%
2010,2006,0916,CAL,21,23,91.30,90.1 - 100%
2013,2009,6943,West Central,23,23,100.00,90.1 - 100%
2015,2011,1053,Cedar Rapids,973,1167,83.40,80.1 - 90%
2015,2011,3465,Lamoni,30,30,100.00,90.1 - 100%
2012,2008,6651,Villisca,22,25,88.00,80.1 - 90%
2012,2008,1989,Edgewood-Colesburg,54,56,96.40,90.1 - 100%
2010,2006,4149,MOC-Floyd Valley,103,106,97.20,90.1 - 100%
2014,2010,1095,Central Lyon,30,31,96.80,90.1 - 100%
2014,2010,0135,Allamakee,90,92,97.80,90.1 - 100%
2016,2012,3312,Keokuk,129,145,89.00,80.1 - 90%
2011,2007,0423,Aurelia,11,12,91.70,90.1 - 100%
2010,2006,5310,Postville,51,59,86.40,80.1 - 90%
2014,2010,2457,George-Little Rock,29,30,96.70,90.1 - 100%
2013,2009,1413,Coon Rapids-Bayard,21,21,100.00,90.1 - 100%
2010,2006,1638,Decorah,131,133,98.50,90.1 - 100%
2015,2011,1975,River Valley,22,22,100.00,90.1 - 100%
2012,2008,0472,Ballard,113,115,98.30,90.1 - 100%
2017,2013,6100,South Winneshiek,53,55,96.40,90.1 - 100%
2011,2007,4581,Muscatine,318,383,83.00,80.1 - 90%
2012,2008,0171,Alta,61,63,96.80,90.1 - 100%
2011,2007,1337,College,259,303,85.50,80.1 - 90%
2017,2013,6120,Spirit Lake,114,122,93.40,90.1 - 100%
2009,2005,1211,Clarke,79,105,75.20,70.1 - 80%
2013,2009,5895,Seymour,14,16,87.50,80.1 - 90%
2012,2008,1737,Des Moines Independent,1522,1923,79.20,70.1 - 80%
2011,2007,1968,East Marshall,63,66,95.50,90.1 - 100%
2011,2007,3348,Kingsley-Pierson,28,31,90.30,90.1 - 100%
2015,2011,2169,Fairfield,89,102,87.30,80.1 - 90%
2009,2005,6012,Sigourney,36,57,63.20,60.1 - 70%
2012,2008,3600,Le Mars,142,146,97.30,90.1 - 100%
2015,2011,0234,Anamosa,83,89,93.30,90.1 - 100%
2014,2010,6453,Treynor,49,50,98.00,90.1 - 100%
2010,2006,0135,Allamakee,123,124,99.20,90.1 - 100%
2013,2009,0576,Belle Plaine,47,50,94.00,90.1 - 100%
2012,2008,4773,Northeast,55,58,94.80,90.1 - 100%
2012,2008,3420,Lake Mills,45,47,95.70,90.1 - 100%
2015,2011,4878,Ogden,63,65,96.90,90.1 - 100%
2013,2009,6100,South Winneshiek,59,65,90.80,90.1 - 100%
2016,2012,2295,Forest City,76,79,96.20,90.1 - 100%
2015,2011,0882,Burlington,210,286,73.40,70.1 - 80%
2017,2013,4860,Odebolt-Arthur,,,,Not Reportable
2017,2013,4446,Monticello,60,68,88.20,80.1 - 90%
2017,2013,5184,Perry,135,148,91.20,90.1 - 100%
2016,2012,4644,Newell-Fonda,34,37,91.90,90.1 - 100%
2010,2006,4797,Norwalk,136,147,92.50,90.1 - 100%
2010,2006,6035,Sioux Central,51,52,98.10,90.1 - 100%
2012,2008,1963,East Buchanan,32,33,97.00,90.1 - 100%
2017,2013,0977,Cardinal,45,48,93.80,90.1 - 100%
